state,2020_blue,2020_red,2016_blue,2016_red,2012_blue,2012_red,2008_blue,2008_red,red_or_blue
CA,0.6348,0.3432,0.6173,0.3162,0.6024,0.3712,0.6101,0.3695,blue
CT,0.5924,0.3921,0.5457,0.4093,0.5806,0.4073,0.6059,0.3822,blue
IL,0.5754,0.4055,0.5583,0.3876,0.576,0.4073,0.6192,0.3678,blue
MA,0.656,0.3214,0.6001,0.3281,0.6065,0.3751,0.618,0.3599,blue
ND,0.3176,0.6511,0.2723,0.6296,0.3869,0.5832,0.4462,0.5325,red
NY,0.6086,0.3775,0.5901,0.3652,0.6335,0.3517,0.6288,0.3603,blue
RI,0.5939,0.3861,0.5441,0.389,0.627,0.3524,0.6286,0.3506,blue
SC,0.4343,0.5511,0.4067,0.5494,0.4409,0.5456,0.449,0.5387,red
TX,0.4648,0.5206,0.4324,0.5223,0.4138,0.5717,0.4368,0.5545,red
VT,0.6609,0.3067,0.5668,0.3027,0.6657,0.3097,0.6746,0.3045,blue
WA,0.5797,0.3877,0.5254,0.3683,0.5616,0.4219,0.5765,0.4048,blue
